================================================================================
統合Critic学習の実行サマリー（初期配置を半径で制御）
================================================================================
実行日時: 20260114_230940
総実行時間: 03:05:49

出口位置: (0, 6)

統合Vテーブル:
  最終V状態数: 996
  価値の範囲: [-71.91, 99.00]
  平均価値: 18.09
  標準偏差: 33.57

設定:
  半径パターン: [3, 5, 7, 9, 11, 13, 15]
  人数パターン: [1, 10, 20, 30, 40, 50, 60, 70, 80, 90]
  総エピソード数: 70000
  エピソード数/設定: 1000
  最大ステップ数: 100

モデルパラメータ:
  [FFMパラメータ]
    k_S: 10
    k_D: 1
    neighborhood: neumann
  [学習パラメータ]
    alpha_v (Critic学習率): 0.01
    gamma (割引率): 0.99
    block_size (状態ブロック): 5
  [報酬設定]
    exit_reward: 100.0
    step_penalty: -1.0
    collision_penalty: -1.0

設定別の結果:
--------------------------------------------------------------------------------
radius= 3, N=  1: 平均ステップ=  2.47, V状態数     2→    4 (+   2)
radius= 5, N=  1: 平均ステップ=  3.80, V状態数     4→   11 (+   7)
radius= 5, N= 10: 平均ステップ= 19.73, V状態数    59→  310 (+ 251)
radius= 5, N= 20: 平均ステップ= 39.20, V状態数   310→  310 (+   0)
radius= 7, N=  1: 平均ステップ=  4.96, V状態数   310→  315 (+   5)
radius= 7, N= 10: 平均ステップ= 20.28, V状態数   315→  590 (+ 275)
radius= 7, N= 20: 平均ステップ= 39.66, V状態数   590→  642 (+  52)
radius= 7, N= 30: 平均ステップ= 59.35, V状態数   642→  643 (+   1)
radius= 7, N= 40: 平均ステップ= 79.11, V状態数   643→  643 (+   0)
radius= 9, N=  1: 平均ステップ=  6.04, V状態数   643→  645 (+   2)
radius= 9, N= 10: 平均ステップ= 20.74, V状態数   646→  765 (+ 119)
radius= 9, N= 20: 平均ステップ= 39.98, V状態数   767→  843 (+  76)
radius= 9, N= 30: 平均ステップ= 59.64, V状態数   843→  857 (+  14)
radius= 9, N= 40: 平均ステップ= 79.40, V状態数   857→  858 (+   1)
radius= 9, N= 50: 平均ステップ= 99.23, V状態数   858→  858 (+   0)
radius= 9, N= 60: 平均ステップ=100.00, V状態数   858→  858 (+   0)
radius=11, N=  1: 平均ステップ=  7.05, V状態数   858→  859 (+   1)
radius=11, N= 10: 平均ステップ= 21.09, V状態数   859→  899 (+  40)
radius=11, N= 20: 平均ステップ= 40.19, V状態数   899→  922 (+  23)
radius=11, N= 30: 平均ステップ= 59.83, V状態数   922→  927 (+   5)
radius=11, N= 40: 平均ステップ= 79.65, V状態数   927→  927 (+   0)
radius=11, N= 50: 平均ステップ= 99.40, V状態数   927→  927 (+   0)
radius=11, N= 60: 平均ステップ=100.00, V状態数   927→  928 (+   1)
radius=11, N= 70: 平均ステップ=100.00, V状態数   928→  929 (+   1)
radius=11, N= 80: 平均ステップ=100.00, V状態数   929→  929 (+   0)
radius=13, N=  1: 平均ステップ=  7.86, V状態数   929→  930 (+   1)
radius=13, N= 10: 平均ステップ= 21.31, V状態数   930→  959 (+  29)
radius=13, N= 20: 平均ステップ= 40.35, V状態数   959→  967 (+   8)
radius=13, N= 30: 平均ステップ= 59.94, V状態数   967→  972 (+   5)
radius=13, N= 40: 平均ステップ= 79.72, V状態数   972→  972 (+   0)
radius=13, N= 50: 平均ステップ= 99.46, V状態数   972→  972 (+   0)
radius=13, N= 60: 平均ステップ=100.00, V状態数   972→  972 (+   0)
radius=13, N= 70: 平均ステップ=100.00, V状態数   972→  972 (+   0)
radius=13, N= 80: 平均ステップ=100.00, V状態数   972→  972 (+   0)
radius=13, N= 90: 平均ステップ=100.00, V状態数   972→  972 (+   0)
radius=15, N=  1: 平均ステップ=  7.90, V状態数   972→  974 (+   2)
radius=15, N= 10: 平均ステップ= 21.46, V状態数   974→  993 (+  19)
radius=15, N= 20: 平均ステップ= 40.42, V状態数   993→  996 (+   3)
radius=15, N= 30: 平均ステップ= 60.02, V状態数   996→  996 (+   0)
radius=15, N= 40: 平均ステップ= 79.73, V状態数   996→  996 (+   0)
radius=15, N= 50: 平均ステップ= 99.51, V状態数   996→  996 (+   0)
radius=15, N= 60: 平均ステップ=100.00, V状態数   996→  996 (+   0)
radius=15, N= 70: 平均ステップ=100.00, V状態数   996→  996 (+   0)
radius=15, N= 80: 平均ステップ=100.00, V状態数   996→  996 (+   0)
radius=15, N= 90: 平均ステップ=100.00, V状態数   996→  996 (+   0)
